officer_group,complaint_category,n
Burge,FEDERAL CIVIL SUIT,17
Burge,EXCESSIVE FORCE:  ARRESTEE - DURING ARREST,15
Burge,CIVIL RIGHTS VIOLATION:  SEARCH OF PREMISE/VEHICLE W/O WARRANT,14
Burge,OPERATION/PERSONNEL VIOLATION:  MISCELLANEOUS,8
Burge,OPERATION/PERSONNEL VIOLATION: INADEQUATE/FAIL TO PROVIDE SERVICE,8
Burge,"EXCESSIVE FORCE:  WEAPON, USE OF",7
Burge,EXCESSIVE FORCE:  ARRESTEE - AFTER ARREST-PRIOR TO LOCKUP,6
Burge,Excessive Force,4
Burge,OPERATION/PERSONNEL VIOLATION:  INVENTORY PROCEDURES,4
Burge,ARREST/LOCKUP PROCEDURE:  SEARCH - PERSON/PROPERTY,3
Burge,COMMISSION OF CRIME:  MISCELLANEOUS,3
Burge,EXCESSIVE FORCE:  MISCELLANEOUS,3
Burge,EXCESSIVE FORCE:  NO ARREST,3
Burge,OPERATION/PERSONNEL VIOLS.:  NEGLECT OF DUTY / CONDUCT UNBECOMING,3
Burge,ARREST/LOCKUP PROCEDURE:  EXCESSIVE DETENTION,2
Burge,ARREST/LOCKUP PROCEDURE:  IMPROPER ARREST,2
Burge,ARREST/LOCKUP PROCEDURE:  PRISONERS PROPERTY - INVENTORY/RECEIPT,2
Burge,CIVIL RIGHTS VIOLATION:  ILLEGAL ARREST,2
Burge,CIVIL RIGHTS VIOLATION:  SEARCH OF PERSON WITHOUT WARRANT,2
Burge,CONDUCT UNBECOMING (OFF DUTY): MISCELLANEOUS,2
Burge,"Coercion,Threat of Violence,Coerced Confession,",2
Burge,EXCESSIVE FORCE:  ARRESTEE - LOCKUP/DETENTION,2
Burge,NEGLECT OF DUTY,2
Burge,OPERATION/PERSONNEL VIOLATION:  REPORTS - FAIL TO SUBMIT/IMPROPER,2
Burge,OPERATION/PERSONNEL VIOLATION:  VEHICLE LICENSING - CITY,2
Burge,VERBAL ABUSE - USE OF PROFANITY,2
Burge,ALTERCATION / DISTURBANCE - NEIGHBOR,1
Burge,ARREST/LOCKUP PROCEDURE:  MISCELLANEOUS,1
Burge,ARREST/LOCKUP PROCEDURE:  TELEPHONE - ATTORNEY/RELATIVE/PRIVELAGE,1
Burge,ASSOCIATION WITH FELON,1
Burge,CONDUCT UNBECOMING (OFF DUTY): ALTERCATION/DISTURBANCE - DOMESTIC,1
Burge,CONDUCT UNBECOMING (OFF DUTY): ALTERCATION/DISTURBANCE - TRAFFIC,1
Burge,"Civil Rights Violation,Improper Arrest,Miranda Rights Communicated,",1
Burge,EXCESSIVE FORCE:  TRAFFIC,1
Burge,FAILURE TO ENSURE - CIVIL RIGHTS,1
Burge,ILLEGAL ARREST / FALSE ARREST,1
Burge,IMPROPER PROCESSING / REPORTING / PROCEDURES,1
Burge,IMPROPER SEARCH OF PERSON ,1
Burge,INADEQUATE / FAILURE TO PROVIDE SERVICE,1
Burge,INITIATE PROPER ACTION,1
Burge,MISUSE OF DEPARTMENT RECORDS,1
