officer_group,incident_year,n_complaints
Burge,1976.0,1
Burge,1978.0,2
Burge,1979.0,1
Burge,1980.0,1
Burge,1982.0,4
Burge,1983.0,6
Burge,1984.0,2
Burge,1985.0,7
Burge,1986.0,9
Burge,1987.0,5
Burge,1988.0,1
Burge,1989.0,10
Burge,1990.0,4
Burge,1991.0,22
Burge,1992.0,15
Burge,1993.0,12
Burge,1994.0,9
Burge,1995.0,8
Burge,1996.0,6
Burge,1997.0,9
Burge,1998.0,5
Burge,1999.0,5
Burge,2000.0,4
Burge,2001.0,3
Burge,2003.0,3
Burge,2004.0,1
Burge,2005.0,2
Burge,2006.0,3
Burge,2007.0,1
Burge,2017.0,1
Guevara,1988.0,5
Guevara,1989.0,5
Guevara,1990.0,2
Guevara,1991.0,5
Guevara,1992.0,10
Guevara,1993.0,2
Guevara,1994.0,5
Guevara,1995.0,14
Guevara,1996.0,9
Guevara,1997.0,9
Guevara,1998.0,5
Guevara,1999.0,10
Guevara,2000.0,2
Guevara,2001.0,8
Guevara,2002.0,6
Guevara,2003.0,1
Guevara,2004.0,3
Guevara,2005.0,1
Guevara,2006.0,1
Guevara,2007.0,1
Guevara,2008.0,1
Guevara,2009.0,2
Guevara,2014.0,1
Guevara,2018.0,4
